web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
04.10.2017,A,"Bundesmuseen-Gesetz, Änderung",2310/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02310/index.shtml,XXV,XXV_2310A
04.10.2017,A,"Angestelltengesetz, Gutsangestelltengesetz u.a., Änderung",2305/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02305/index.shtml,XXV,XXV_2305A
04.10.2017,A,"Tabak- und Nichtraucherinnen- bzw. Nichtraucherschutzgesetz, Änderung",2300/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02300/index.shtml,XXV,XXV_2300A
04.10.2017,A,"Bundes-Verfassungsgesetz, Rechnungshofgesetz, Änderung",2277/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02277/index.shtml,XXV,XXV_2277A
04.10.2017,A,"Bundes-Verfassungsgesetz, Rechnungshofgesetz, Änderung",2276/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02276/index.shtml,XXV,XXV_2276A
04.10.2017,A,"Rechnungshofgesetz, Änderung",2275/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02275/index.shtml,XXV,XXV_2275A
04.10.2017,A,"Bundes-Verfassungsgesetz, Änderung",2272/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02272/index.shtml,XXV,XXV_2272A
04.10.2017,A,"Klimaschutzgesetz, Änderung",2217/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02217/index.shtml,XXV,XXV_2217A
03.10.2017,A,Bundes-Umweltrechtschutzgesetz - BURG,2223/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02223/index.shtml,XXV,XXV_2223A
20.09.2017,RV,Vergaberechtsreformgesetz 2017,1658 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01658/index.shtml,XXV,XXV_1658dB
20.09.2017,A,"Klubfinanzierungsgesetz, Änderung",2320/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02320/index.shtml,XXV,XXV_2320A
20.09.2017,A,"Gebührengesetz, Änderung",2317/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02317/index.shtml,XXV,XXV_2317A
20.09.2017,A,"Volksgruppengesetz, Änderung",2297/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02297/index.shtml,XXV,XXV_2297A
20.09.2017,A,Gruppenverfahrengesetz,2296/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02296/index.shtml,XXV,XXV_2296A
20.09.2017,A,"Begrenzung von Bezügen öffentlicher Funktionäre, Bezügegesetz, Änderung",2293/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02293/index.shtml,XXV,XXV_2293A
20.09.2017,A,"Tierschutzgesetz, Änderung",2291/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02291/index.shtml,XXV,XXV_2291A
20.09.2017,A,"Tierschutzgesetz, Änderung",2289/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02289/index.shtml,XXV,XXV_2289A
20.09.2017,A,"Kraftfahrgesetz, Änderung",2287/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02287/index.shtml,XXV,XXV_2287A
20.09.2017,A,Wohnrechtsnovelle 2017,2273/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02273/index.shtml,XXV,XXV_2273A
20.09.2017,A,"Urlaubsgesetz, Änderung",2192/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02192/index.shtml,XXV,XXV_2192A
20.09.2017,A,"Allgemeine Sozialversicherungsgesetz, Einkommensteuergesetz, Änderung",2190/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02190/index.shtml,XXV,XXV_2190A
20.09.2017,A,"Allgemeine Sozialversicherungsgesetz, Änderung",2161/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02161/index.shtml,XXV,XXV_2161A
20.09.2017,A,"Allgemeines Sozialversicherungsgesetz, Änderung",2084/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02084/index.shtml,XXV,XXV_2084A
