web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
12.09.2008,RV,"Straßenverkehrsordnung, Kraftfahrgesetz, Änderung (22. StVO-Novelle)",670 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00670/index.shtml,XXIII,XXIII_670dB
12.09.2008,RV,Wehrrechtsänderungsgesetz 2008 – WRÄG 2008,669 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00669/index.shtml,XXIII,XXIII_669dB
12.09.2008,RV,IFI-Beitragsgesetz 2008,668 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00668/index.shtml,XXIII,XXIII_668dB
12.09.2008,A,"Einkommensteuergesetz 1988, Änderung",925/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00925/index.shtml,XXIII,XXIII_925A
12.09.2008,A,Steuerbonus für das Jahr 2008,923/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00923/index.shtml,XXIII,XXIII_923A
12.09.2008,A,"Mineralölsteuergesetz, Änderung",922/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00922/index.shtml,XXIII,XXIII_922A
12.09.2008,A,"Familienlastenausgleichsgesetz, Änderung",921/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00921/index.shtml,XXIII,XXIII_921A
12.09.2008,A,"Finanzausgleichsgesetz 2008, Änderung",920/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00920/index.shtml,XXIII,XXIII_920A
12.09.2008,A,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz u.a., Änderung",919/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00919/index.shtml,XXIII,XXIII_919A
12.09.2008,A,Heizkostenausgleichsfondsgesetz,918/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00918/index.shtml,XXIII,XXIII_918A
12.09.2008,A,"Mineralölsteuergesetz 1995, Änderung",910/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00910/index.shtml,XXIII,XXIII_910A
12.09.2008,A,"Asylgesetz, Änderung",909/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00909/index.shtml,XXIII,XXIII_909A
12.09.2008,A,"Niederlassungs- und Aufenthaltsgesetz - NAG, Änderung",908/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00908/index.shtml,XXIII,XXIII_908A
12.09.2008,A,Krankenkassen-Finanzierungs-Sicherungsgesetz,846/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00846/index.shtml,XXIII,XXIII_846A
