web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
27.07.2006,A,Verbraucherbehörden-Kooperationsgesetz - VBKG,836/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00836/index.shtml,XXII,XXII_836A
24.07.2006,RV,"Arbeitszeitgesetz, Arbeitsruhegesetz, Änderung",1432 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01432/index.shtml,XXII,XXII_1432dB
24.07.2006,RV,Energieausweis-Vorlage-Gesetz - EAVG,1182 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01182/index.shtml,XXII,XXII_1182dB
21.07.2006,RV,"Immobilien-Investmentfondsgesetz, Investmentfondsgesetz, Einkommensteuergesetz 1988, Pensionskassengesetz und das Betriebliche Mitarbeitervorsorgegesetz",1436 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01436/index.shtml,XXII,XXII_1436dB
21.07.2006,RV,"Lebensmittelsicherheits- und Verbraucherschutzgesetz, u.a. Änderung",1422 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01422/index.shtml,XXII,XXII_1422dB
21.07.2006,RV,Tierärztegesetz,1366 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01366/index.shtml,XXII,XXII_1366dB
21.07.2006,RV,Gesundheits- und Ernährungssicherheitsgesetz – GESG und die veterinärmedizinischen Bundesanstalten,1351 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01351/index.shtml,XXII,XXII_1351dB
14.07.2006,A,"Volksgruppengesetz, Änderung",849/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00849/index.shtml,XXII,XXII_849A
14.07.2006,A,"Volksgruppengesetz, Änderung",848/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00848/index.shtml,XXII,XXII_848A
13.07.2006,A,"Straßenverkehrsordnung, Änderung",702/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00702/index.shtml,XXII,XXII_702A
12.07.2006,A,"ORF-Gesetz, Änderung",841/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00841/index.shtml,XXII,XXII_841A
10.07.2006,RV,Bundesgesetz über die Gesundheit Österreich GmbH (GÖGG),1430 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01430/index.shtml,XXII,XXII_1430dB
10.07.2006,RV,Gesundheitsrechtsänderungsgesetz 2006 – GRÄG 2006,1414 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01414/index.shtml,XXII,XXII_1414dB
10.07.2006,RV,"Eisenbahngesetz 1957, Bundesbahngesetz und Bundesgesetz zur Errichtung einer ""Brenner Basistunnel Aktiengesellschaft""",1412 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01412/index.shtml,XXII,XXII_1412dB
10.07.2006,RV,Wasserrechtsgesetznovelle 2006,1356 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01356/index.shtml,XXII,XXII_1356dB
10.07.2006,RV,Wohnrechtsnovelle 2006 - WRN 2006,1183 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01183/index.shtml,XXII,XXII_1183dB
07.07.2006,A,"Amnestie-, Rehabilitierungs- und Entschädigungsgesetz AREG",707/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00707/index.shtml,XXII,XXII_707A
07.07.2006,A,"Gebührengesetz, Änderung",656/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00656/index.shtml,XXII,XXII_656A
07.07.2006,A,bedingte Entlassung aus dem Strafvollzug im Strafgesetzbuch,435/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00435/index.shtml,XXII,XXII_435A
06.07.2006,RV,Ingenieurgesetz 2006,1431 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01431/index.shtml,XXII,XXII_1431dB
06.07.2006,RV,"Beamten-Dienstrechtsgesetz 1979, Gehaltsgesetz, u.a., Änderung",1417 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01417/index.shtml,XXII,XXII_1417dB
06.07.2006,RV,Deregulierungsgesetz 2006 – DRG 2006,1410 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01410/index.shtml,XXII,XXII_1410dB
06.07.2006,RV,"Sozialversicherungs-Ergänzungsgesetz, Änderung",1392 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01392/index.shtml,XXII,XXII_1392dB
06.07.2006,RV,EU-Beamten-Sozialversicherungsgesetz,1364 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01364/index.shtml,XXII,XXII_1364dB
06.07.2006,A,Wehrrechtsänderungsgesetz 2006 - WRÄG 2006,828/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00828/index.shtml,XXII,XXII_828A
06.07.2006,A,"Epidemiegesetz, Änderung",822/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00822/index.shtml,XXII,XXII_822A
06.07.2006,A,"Militärbefugnisgesetz, Änderung",760/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00760/index.shtml,XXII,XXII_760A
06.07.2006,A,Umweltverträglichkeitsprüfungsgesetz 2000 (UVP-G 2000),537/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00537/index.shtml,XXII,XXII_537A
05.07.2006,A,"Urlaubsgesetz, Arbeitsvertragsrechts-Anpassungsgesetz, Änderung",744/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00744/index.shtml,XXII,XXII_744A
04.07.2006,A,Straßenverkehrsordnung Änderung,672/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00672/index.shtml,XXII,XXII_672A
23.06.2006,A,"Wohnungsgemeinnützigkeitsgesetz, Änderung",741/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00741/index.shtml,XXII,XXII_741A
22.06.2006,RV,"Marktordnungsgesetz 2006 – MOG 2006, Marktordnungs-Überleitungsgesetz; AMA-Gesetz, Änderung",1542 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01542/index.shtml,XXII,XXII_1542dB
21.06.2006,VOLKBG,Österreich bleib frei!,1448 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01448/index.shtml,XXII,XXII_1448dB
21.06.2006,A,"Produktpirateriegesetz, Änderung",827/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00827/index.shtml,XXII,XXII_827A
21.06.2006,A,"Mediengesetz, Änderung",823/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00823/index.shtml,XXII,XXII_823A
13.06.2006,RV,Sozialrechts-Änderungsgesetz 2006 – SRÄG 2006,1408 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01408/index.shtml,XXII,XXII_1408dB
13.06.2006,RV,"Beamten-Dienstrechtsgesetz 1979, Pensionsgesetz 1965 u.a., Änderung",1315 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01315/index.shtml,XXII,XXII_1315dB
13.06.2006,RV,Sozialversicherungs-Änderungsgesetz 2006,1314 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01314/index.shtml,XXII,XXII_1314dB
13.06.2006,A,Konsulargebührengesetz 1992 - KGG 1992,775/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00775/index.shtml,XXII,XXII_775A
09.06.2006,BUA,"Rechtsanwaltsordnung, Änderung",1513 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01513/index.shtml,XXII,XXII_1513dB
09.06.2006,BUA,"Heimaufenthaltsgesetz, Änderung",1512 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01512/index.shtml,XXII,XXII_1512dB
09.06.2006,BUA,"Verwertungsgesellschaftengesetz 2006, Änderung",1509 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01509/index.shtml,XXII,XXII_1509dB
09.06.2006,BUA,"Verkehrs-Arbeitsinspektionsgesetz, Änderung",1502 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01502/index.shtml,XXII,XXII_1502dB
09.06.2006,EBR,Einspruch des Bundesrates betr. Übernahmerechts-Änderungsgesetz 2006,1441 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01441/index.shtml,XXII,XXII_1441dB
09.06.2006,EBR,"Einspruch des Bundesrates betr. ÖIAG-Gesetz 2000, Änderung",1440 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01440/index.shtml,XXII,XXII_1440dB
09.06.2006,EBR,"Einspruch des Bundesrates betr. Universitätsgesetz 2002, Änderung",1439 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01439/index.shtml,XXII,XXII_1439dB
09.06.2006,RV,"Kinderbetreuungsgeldgesetz, Änderung",1437 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01437/index.shtml,XXII,XXII_1437dB
09.06.2006,RV,Betrugsbekämpfungsgesetz 2006,1435 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01435/index.shtml,XXII,XXII_1435dB
09.06.2006,RV,Strukturanpassungsgesetz 2006 (StruktAnpG 2006),1434 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01434/index.shtml,XXII,XXII_1434dB
09.06.2006,RV,"Veräußerung von unbeweglichem Bundesvermögen, Änderung des Bundesgesetzes zur Errichtung einer Marchfeldschlösser Revitalisierungs- und Betriebsgesellschaft m.b.H.",1433 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01433/index.shtml,XXII,XXII_1433dB
09.06.2006,RV,Luftfahrtgesetz und Bundesgesetz über den zwischenstaatlichen Luftverkehr 1997,1429 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01429/index.shtml,XXII,XXII_1429dB
09.06.2006,RV,Versicherungsrechts-Änderungsgesetz 2006,1428 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01428/index.shtml,XXII,XXII_1428dB
09.06.2006,RV,Publizitätsrichtlinie-Gesetz – PuG,1427 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01427/index.shtml,XXII,XXII_1427dB
09.06.2006,RV,"Strafvollzugsgesetz, Bundes-Personalvertretungsgesetz u.a., Änderung",1426 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01426/index.shtml,XXII,XXII_1426dB
09.06.2006,RV,Ermächtigung zur Verfügung über Bundesvermögen,1425 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01425/index.shtml,XXII,XXII_1425dB
09.06.2006,RV,"Lebensmittelbewirtschaftungsgesetz 1997, Änderung",1424 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01424/index.shtml,XXII,XXII_1424dB
09.06.2006,RV,"Patentgesetz 1970, Halbleiterschutzgesetz u.a., Änderung",1423 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01423/index.shtml,XXII,XXII_1423dB
09.06.2006,RV,Genossenschaftsrechtsänderungsgesetz 2006 – GenRÄG 2006,1421 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01421/index.shtml,XXII,XXII_1421dB
